Date,Total,Non-autoconfirmed,Autoconfirmed,Autopatrolled
2001/01/01,5,2,3,0
2001/02/01,9,2,7,0
2001/03/01,10,2,8,0
2001/04/01,1,0,1,0
2001/05/01,11,0,11,0
2001/06/01,4,0,4,0
2001/07/01,9,2,7,0
2001/08/01,25,1,24,0
2001/09/01,28,3,25,0
2001/10/01,57,4,53,0
2001/11/01,72,3,69,0
2001/12/01,73,0,73,5
2002/01/01,11,0,11,2
2002/02/01,39,0,39,3
2002/03/01,45,0,45,2
2002/04/01,68,1,67,1
2002/05/01,56,0,56,2
2002/06/01,60,1,59,1
2002/07/01,130,0,130,3
2002/08/01,122,0,122,3
2002/09/01,155,0,155,5
2002/10/01,147,0,147,1
2002/11/01,69,1,68,3
2002/12/01,81,1,80,7
2003/01/01,140,2,138,29
2003/02/01,106,3,103,4
2003/03/01,118,0,118,8
2003/04/01,135,0,135,4
2003/05/01,212,3,209,15
2003/06/01,145,1,144,3
2003/07/01,149,6,143,5
2003/08/01,196,1,195,3
2003/09/01,187,7,180,4
2003/10/01,131,2,129,8
2003/11/01,238,2,236,7
2003/12/01,275,4,271,12
2004/01/01,271,7,264,14
2004/02/01,375,10,365,17
2004/03/01,510,8,502,25
2004/04/01,448,12,436,31
2004/05/01,422,13,409,25
2004/06/01,587,11,576,28
2004/07/01,603,8,595,36
2004/08/01,645,19,626,44
2004/09/01,609,23,586,36
2004/10/01,711,15,696,34
2004/11/01,715,30,685,42
2004/12/01,779,26,753,38
2005/01/01,817,33,784,48
2005/02/01,618,32,586,37
2005/03/01,939,40,899,60
2005/04/01,1112,49,1063,100
2005/05/01,1264,57,1207,95
2005/06/01,1469,73,1396,112
2005/07/01,1708,82,1626,124
2005/08/01,2011,100,1911,141
2005/09/01,1516,95,1421,105
2005/10/01,1843,133,1710,200
2005/11/01,1907,196,1711,172
2005/12/01,2983,475,2508,233
2006/01/01,3574,472,3102,223
2006/02/01,3407,523,2884,189
2006/03/01,3843,648,3195,219
2006/04/01,4142,710,3432,332
2006/05/01,4509,726,3783,347
2006/06/01,4724,716,4008,377
2006/07/01,5047,836,4211,436
2006/08/01,5758,1015,4743,566
2006/09/01,4891,880,4011,434
2006/10/01,5161,769,4392,420
2006/11/01,5083,904,4179,502
2006/12/01,5428,1140,4288,508
2007/01/01,5975,1342,4633,559
2007/02/01,5851,1575,4276,533
2007/03/01,6536,1669,4867,633
2007/04/01,6221,1504,4717,649
2007/05/01,7242,1746,5496,572
2007/06/01,7198,1865,5333,589
2007/07/01,7741,2195,5546,689
2007/08/01,15759,7409,8350,688
2007/09/01,42079,27966,14113,964
2007/10/01,46295,31793,14502,959
2007/11/01,44311,30093,14218,1033
2007/12/01,35728,22437,13291,858
2008/01/01,36005,22121,13884,958
2008/02/01,36125,23651,12474,1029
2008/03/01,41262,26003,15259,1154
2008/04/01,42073,28772,13301,1166
2008/05/01,41168,27759,13409,1168
2008/06/01,34044,21785,12259,1106
2008/07/01,34213,21242,12971,1084
2008/08/01,34318,20932,13386,1120
2008/09/01,34510,22788,11722,1198
2008/10/01,43379,25998,17381,1172
2008/11/01,36077,25868,10209,1153
2008/12/01,34060,23722,10338,1443
2009/01/01,34935,24318,10617,1066
2009/02/01,38909,24203,14706,854
2009/03/01,35233,24945,10288,1036
2009/04/01,29879,20273,9606,1631
2009/05/01,28619,19802,8817,1184
2009/06/01,26914,17574,9340,838
2009/07/01,34875,19323,15552,6969
2009/08/01,26702,18386,8316,891
2009/09/01,26266,18640,7626,767
2009/10/01,29145,20957,8188,792
2009/11/01,29134,21719,7415,782
2009/12/01,26537,19256,7281,941
2010/01/01,27922,20752,7170,761
2010/02/01,28009,20932,7077,618
2010/03/01,29908,22513,7395,651
2010/04/01,24434,17415,7019,562
2010/05/01,22006,15311,6695,677
2010/06/01,19360,13138,6222,535
2010/07/01,18714,12638,6076,595
2010/08/01,19904,12865,7039,557
2010/09/01,18728,13070,5658,523
2010/10/01,20026,14273,5753,571
2010/11/01,19504,13847,5657,741
2010/12/01,18855,13091,5764,888
2011/01/01,20738,14049,6689,1262
2011/02/01,18617,13439,5178,416
2011/03/01,20566,14402,6164,1057
2011/04/01,18363,13000,5363,960
2011/05/01,19019,12876,6143,684
2011/06/01,16980,11995,4985,479
2011/07/01,16995,11207,5788,394
2011/08/01,15978,11129,4849,353
2011/09/01,15404,10755,4649,456
2011/10/01,14340,10005,4335,383
2011/11/01,13625,9918,3707,329
2011/12/01,13036,8982,4054,381
2012/01/01,12328,8971,3357,299
